message_id,message,date,from
44,"Здравствуйте. Студент, который сдавал коллоквиум 27 февраля, напишите мне на корпоративную почту.",2024-03-03 08:01:28+00:00,
43,"Здравствуйте. Поток 4.4 результаты выставлены в Барс. В колонку Домашнее задание (0-30) выставлены результаты всех трех РГР из гугл таблицы, в колонку Контрольные работы (0-40) выставлены из гугл таблицы G1-3, КР 1-3, Коллоквиум 1 (для тех, о ком у меня есть информация. Если у меня нет информации - эти баллы внесет Наталия Алексеевна на экзамене). Коллоквиум 2 будет выставлен в экзамен.",2023-12-25 13:58:39+00:00,
42,"Все сданные РГР проверены и выставлены в гугл таблицу. Если у вас нет баллов, приносите работы в пятницу 22 декабря.",2023-12-20 08:39:34+00:00,
41,"Переписывание КР в пятницу 22 декабря на Кронверкском аудитория 1316 в 10.00, аудитория 2414 в 13.30. При наличии свободных мест в аудитории, в порядке очереди.",2023-12-20 08:01:46+00:00,
40,,2023-12-16 15:10:05+00:00,
39,,2023-12-10 19:54:54+00:00,
38,Добрый день! До 18 декабря.,2023-12-06 17:08:06+00:00,
37,,2023-12-03 19:25:44+00:00,
36,,2023-11-26 20:27:45+00:00,
33,,2023-11-19 18:53:25+00:00,
32,Здравствуйте. Вариант контрольной работы,2023-11-11 16:12:15+00:00,
31,Чекушин заберите типовой расчет и оформите в соответствии с требованиями,2023-11-06 10:44:43+00:00,
30,,2023-11-06 08:43:21+00:00,
29,Варианты остаются такие же.,2023-10-31 11:06:46+00:00,
28,,2023-10-31 11:06:30+00:00,
27,6 ноября рабочий день. Занятия по расписанию,2023-10-30 13:55:42+00:00,
26,Сумку никто не оставил черную?,2023-10-30 13:51:52+00:00,
25,,2023-10-30 11:12:42+00:00,
24,,2023-10-30 08:50:53+00:00,
23,,2023-10-22 19:15:43+00:00,
22,"Бенко Александр, коллоквиум сейчас в 2433",2023-10-16 17:23:34+00:00,
21,"Срочно ответьте, кто собирался приходить на коллоквиум в 20.00 @allarvanova",2023-10-16 16:12:12+00:00,
20,,2023-10-15 19:24:57+00:00,
19,"Здравствуйте, не забудьте к коллоквиуму, кроме всего прочего, повторить равносильные формулы логики предикатов, которые вам давали на лекции",2023-10-15 14:22:32+00:00,
18,https://docs.google.com/spreadsheets/d/1pV4Pbs0l85u5awOH5s6W28gc5RZhh3hk3-CSaJCm62k/edit?usp=sharing,2023-10-12 18:58:04+00:00,
17,"Добрый день! Демонстрационный вариант контрольной работы для ознакомления. Принести двойные листы из обычных тетрадей. Нельзя использовать никакие технические средства: калькуляторы, компьютеры, телефоны, планшеты и прочее.",2023-10-04 11:52:39+00:00,
16,,2023-10-01 20:55:47+00:00,
15,Добрый день. Контрольная работа - 9 октября. Завтра занятие в обычном режиме,2023-10-01 16:21:47+00:00,
14,,2023-09-25 16:40:06+00:00,
13,,2023-09-25 16:39:33+00:00,
12,,2023-09-25 16:38:44+00:00,
11,,2023-09-25 16:38:21+00:00,
10,,2023-09-25 16:37:46+00:00,
9,Добрый вечер! Выше представлены задания для индивидуального типового расчёта. Формулировка заданий приведена в файле ИТР 1(4). В этом же файле - требования по выполнению типового расчета. Данные для своего варианта следует взять в книге: Тишин В.В. Дискретная математика в примерах и задачах. Номер варианта ниже -  номер перед вашей фамилией в списке жирным курсивом.,2023-09-25 16:34:44+00:00,
8,,2023-09-25 16:24:39+00:00,
7,,2023-09-25 11:31:51+00:00,
6,,2023-09-24 21:18:40+00:00,
5,,2023-09-17 19:05:02+00:00,
4,,2023-09-11 11:50:55+00:00,
2,,2023-09-03 19:32:40+00:00,
1,,2023-09-03 19:30:51+00:00,
